Date	Value
16.01.2022 0:00	409,3755
16.01.2022 8:00	360,2536
16.01.2022 16:00	341,7002
17.01.2022 0:00	335,4055
17.01.2022 8:00	362,7527
17.01.2022 16:00	381,0423
18.01.2022 0:00	386,1988
18.01.2022 8:00	385,3279
18.01.2022 16:00	388,4192
19.01.2022 0:00	345,5842
19.01.2022 8:00	354,7719
19.01.2022 16:00	269,433
20.01.2022 0:00	312,2505
20.01.2022 8:00	417,4594
20.01.2022 16:00	448,8856
21.01.2022 0:00	400,5709
21.01.2022 8:00	432,7209
21.01.2022 16:00	382,7009
22.01.2022 0:00	388,8465
22.01.2022 8:00	339,0123
22.01.2022 16:00	330,0067
23.01.2022 0:00	416,0759
23.01.2022 8:00	414,854
23.01.2022 16:00	374,787
24.01.2022 0:00	388,8164
24.01.2022 8:00	449,1611
24.01.2022 16:00	392,8894
25.01.2022 0:00	363,8886
25.01.2022 8:00	283,9474
25.01.2022 16:00	348,8577
26.01.2022 0:00	351,6742
26.01.2022 8:00	329,852
26.01.2022 16:00	318,5039
27.01.2022 0:00	255,8645
27.01.2022 8:00	326,6132
27.01.2022 16:00	284,5574
28.01.2022 0:00	240,6855
28.01.2022 8:00	205,1724
28.01.2022 16:00	213,5955
29.01.2022 0:00	309,1857
29.01.2022 8:00	298,9497
29.01.2022 16:00	325,2003
30.01.2022 0:00	351,571
30.01.2022 8:00	274,534
30.01.2022 16:00	195,3191
31.01.2022 0:00	315,5097
31.01.2022 8:00	282,2846
31.01.2022 16:00	250,4121
01.02.2022 0:00	255,0531
01.02.2022 8:00	314,8748
01.02.2022 16:00	311,1097
02.02.2022 0:00	393,9183
02.02.2022 8:00	372,6342
02.02.2022 16:00	310,9941
03.02.2022 0:00	309,789
03.02.2022 8:00	340,8084
03.02.2022 16:00	235,7377
04.02.2022 0:00	294,609
04.02.2022 8:00	329,2945
04.02.2022 16:00	350,916
05.02.2022 0:00	410,0892
05.02.2022 8:00	389,0222
05.02.2022 16:00	276,032
06.02.2022 0:00	320,061
06.02.2022 8:00	320,6973
06.02.2022 16:00	314,167
07.02.2022 0:00	350,7036
07.02.2022 8:00	319,2379
07.02.2022 16:00	217,0467
08.02.2022 0:00	243,5791
08.02.2022 8:00	351,6442
08.02.2022 16:00	368,0577
09.02.2022 0:00	327,979
09.02.2022 8:00	247,6985
09.02.2022 16:00	201,2062
10.02.2022 0:00	270,9782
10.02.2022 8:00	283,7626
10.02.2022 16:00	303,7119
11.02.2022 0:00	325,4532
11.02.2022 8:00	321,9062
11.02.2022 16:00	271,7307
12.02.2022 0:00	288,9186
12.02.2022 8:00	272,4479
12.02.2022 16:00	284,9746
13.02.2022 0:00	268,8363
13.02.2022 8:00	238,7109
13.02.2022 16:00	309,6041
14.02.2022 0:00	332,5243
14.02.2022 8:00	258,9299
14.02.2022 16:00	241,7756
15.02.2022 0:00	235,0047
15.02.2022 8:00	202,0113
15.02.2022 16:00	241,7947
16.02.2022 0:00	277,332
16.02.2022 8:00	269,7919
16.02.2022 16:00	263,4248
17.02.2022 0:00	250,8645
17.02.2022 8:00	278,5614
17.02.2022 16:00	323,7612
18.02.2022 0:00	316,5988
18.02.2022 8:00	256,802
18.02.2022 16:00	290,3871
19.02.2022 0:00	265,1575
19.02.2022 8:00	229,4088
19.02.2022 16:00	233,5021
20.02.2022 0:00	251,9499
20.02.2022 8:00	296,6288
20.02.2022 16:00	327,9044
21.02.2022 0:00	318,9207
21.02.2022 8:00	335,4018
21.02.2022 16:00	349,1163
22.02.2022 0:00	373,9098
22.02.2022 8:00	373,743
22.02.2022 16:00	367,9447
23.02.2022 0:00	341,3434
23.02.2022 8:00	335,4826
23.02.2022 16:00	304,8223
24.02.2022 0:00	343,085
24.02.2022 8:00	339,1782
24.02.2022 16:00	331,1513
25.02.2022 0:00	339,9311
25.02.2022 8:00	347,979
25.02.2022 16:00	341,7408
26.02.2022 0:00	287,5421
26.02.2022 8:00	360,1123
26.02.2022 16:00	339,4164
27.02.2022 0:00	325,3034
27.02.2022 8:00	338,3584
27.02.2022 16:00	377,7306
28.02.2022 0:00	362,0889
28.02.2022 8:00	365,1779
28.02.2022 16:00	363,1693
01.03.2022 0:00	352,5547
01.03.2022 8:00	377,3605
01.03.2022 16:00	367,866
02.03.2022 0:00	368,6481
02.03.2022 8:00	360,1294
02.03.2022 16:00	280,7194
03.03.2022 0:00	412,2888
03.03.2022 8:00	426,1519
03.03.2022 16:00	425,17
04.03.2022 0:00	433,7348
04.03.2022 8:00	361,1562
04.03.2022 16:00	317,2923
05.03.2022 0:00	371,2285
05.03.2022 8:00	263,6763
05.03.2022 16:00	213,6421
06.03.2022 0:00	268,9721
06.03.2022 8:00	241,2686
06.03.2022 16:00	247,1905
07.03.2022 0:00	275,0812
07.03.2022 8:00	268,7481
07.03.2022 16:00	253,5103
08.03.2022 0:00	245,0405
08.03.2022 8:00	248,4337
08.03.2022 16:00	203,9803
09.03.2022 0:00	206,8766
09.03.2022 8:00	193,0514
09.03.2022 16:00	239,8743
10.03.2022 0:00	256,3451
10.03.2022 8:00	226,1169
10.03.2022 16:00	193,555
11.03.2022 0:00	191,5383
11.03.2022 8:00	188,3643
11.03.2022 16:00	211,1307
12.03.2022 0:00	244,4
12.03.2022 8:00	242,6067
12.03.2022 16:00	302,6513
13.03.2022 0:00	286,5229
13.03.2022 8:00	307,6269
13.03.2022 16:00	244,8095
14.03.2022 0:00	271,1917
14.03.2022 8:00	277,2477
14.03.2022 16:00	246,1334
15.03.2022 0:00	190,4608
15.03.2022 8:00	179,6007
15.03.2022 16:00	186,7816
16.03.2022 0:00	206,6572
16.03.2022 8:00	241,6313
16.03.2022 16:00	280,3665
17.03.2022 0:00	325,4777
17.03.2022 8:00	307,2719
17.03.2022 16:00	277,7141
18.03.2022 0:00	301,595
18.03.2022 8:00	312,874
18.03.2022 16:00	315,0361
19.03.2022 0:00	341,7727
19.03.2022 8:00	371,4742
19.03.2022 16:00	316,8733
20.03.2022 0:00	318,2979
20.03.2022 8:00	265,2533
20.03.2022 16:00	296,5707
21.03.2022 0:00	298,5347
21.03.2022 8:00	309,9037
21.03.2022 16:00	313,3578
22.03.2022 0:00	346,6988
22.03.2022 8:00	311,8276
22.03.2022 16:00	324,0583
23.03.2022 0:00	353,7865
23.03.2022 8:00	361,007
23.03.2022 16:00	227,7285
24.03.2022 0:00	294,1958
24.03.2022 8:00	293,7707
24.03.2022 16:00	339,9845
25.03.2022 0:00	357,3805
25.03.2022 8:00	377,4126
25.03.2022 16:00	389,2188
26.03.2022 0:00	384,7086
26.03.2022 8:00	371,2197
26.03.2022 16:00	403,1044
27.03.2022 0:00	395,2641
27.03.2022 8:00	371,8806
27.03.2022 16:00	356,3025
28.03.2022 0:00	295,3852
28.03.2022 8:00	229,6258
28.03.2022 16:00	226,3718
29.03.2022 0:00	286,6326
29.03.2022 8:00	275,0251
29.03.2022 16:00	272,66
30.03.2022 0:00	310,2799
30.03.2022 8:00	313,4195
30.03.2022 16:00	245,7713
31.03.2022 0:00	255,7968
31.03.2022 8:00	280,4385
31.03.2022 16:00	238,1055
01.04.2022 0:00	271,6955
01.04.2022 8:00	269,0268
01.04.2022 16:00	192,5832
02.04.2022 0:00	269,3371
02.04.2022 8:00	291,329
02.04.2022 16:00	288,0574
03.04.2022 0:00	190,743
03.04.2022 8:00	214,6995
03.04.2022 16:00	233,0558
04.04.2022 0:00	291,6799
04.04.2022 8:00	378,4872
04.04.2022 16:00	313,9978
05.04.2022 0:00	371,1457
05.04.2022 8:00	359,131
05.04.2022 16:00	340,5226
06.04.2022 0:00	337,5684
06.04.2022 8:00	331,9335
06.04.2022 16:00	344,499
07.04.2022 0:00	314,9791
07.04.2022 8:00	388,18
07.04.2022 16:00	411,525
08.04.2022 0:00	373,3695
08.04.2022 8:00	415,7781
08.04.2022 16:00	426,8178
09.04.2022 0:00	439,2337
09.04.2022 8:00	383,0022
09.04.2022 16:00	386,07
10.04.2022 0:00	376,6731
10.04.2022 8:00	399,2721
10.04.2022 16:00	379,9394
11.04.2022 0:00	335,102
11.04.2022 8:00	350,2649
11.04.2022 16:00	273,3244
12.04.2022 0:00	338,8172
12.04.2022 8:00	342,5505
12.04.2022 16:00	369,6408
13.04.2022 0:00	421,5338
13.04.2022 8:00	366,0451
13.04.2022 16:00	308,5654
14.04.2022 0:00	364,47
14.04.2022 8:00	496,7985
14.04.2022 16:00	403,0816
15.04.2022 0:00	389,1696
15.04.2022 8:00	340,9738
15.04.2022 16:00	350,6075
16.04.2022 0:00	463,7628
16.04.2022 8:00	441,2741
16.04.2022 16:00	398,2894
17.04.2022 0:00	403,6979
17.04.2022 8:00	380,4853
17.04.2022 16:00	316,4195
18.04.2022 0:00	355,7169
18.04.2022 8:00	399,5899
18.04.2022 16:00	392,9149
19.04.2022 0:00	427,1177
19.04.2022 8:00	411,8369
19.04.2022 16:00	434,8448
20.04.2022 0:00	414,0388
20.04.2022 8:00	413,8451
20.04.2022 16:00	383,2567
21.04.2022 0:00	400,3089
21.04.2022 8:00	385,0429
21.04.2022 16:00	380,6175
22.04.2022 0:00	365,5609
22.04.2022 8:00	385,0141
22.04.2022 16:00	382,4356
23.04.2022 0:00	401,1178
23.04.2022 8:00	429,6444
23.04.2022 16:00	466,1248
24.04.2022 0:00	543,188
24.04.2022 8:00	492,2996
24.04.2022 16:00	411,3261
25.04.2022 0:00	408,4972
25.04.2022 8:00	296,5997
25.04.2022 16:00	249,9079
26.04.2022 0:00	243,3815
26.04.2022 8:00	257,7638
26.04.2022 16:00	285,1498
27.04.2022 0:00	298,975
27.04.2022 8:00	261,7835
27.04.2022 16:00	353,6435
28.04.2022 0:00	382,2872
28.04.2022 8:00	387,3293
28.04.2022 16:00	351,2117
29.04.2022 0:00	328,6977
29.04.2022 8:00	313,2125
29.04.2022 16:00	341,9929
30.04.2022 0:00	344,4454
30.04.2022 8:00	415,6575
30.04.2022 16:00	466,4558
01.05.2022 0:00	344,386
01.05.2022 8:00	351,0779
01.05.2022 16:00	347,2198
02.05.2022 0:00	285,519
02.05.2022 8:00	267,4923
02.05.2022 16:00	293,0381
03.05.2022 0:00	253,8143
03.05.2022 8:00	264,476
03.05.2022 16:00	267,1441
04.05.2022 0:00	283,0208
04.05.2022 8:00	335,401
04.05.2022 16:00	327,3594
05.05.2022 0:00	407,1543
05.05.2022 8:00	375,0719
05.05.2022 16:00	299,3703
06.05.2022 0:00	308,64
06.05.2022 8:00	341,6348
06.05.2022 16:00	353,7661
07.05.2022 0:00	388,014
07.05.2022 8:00	390,3225
07.05.2022 16:00	325,4643
08.05.2022 0:00	365,5853
08.05.2022 8:00	363,2281
08.05.2022 16:00	388,6683
09.05.2022 0:00	416,2965
09.05.2022 8:00	424,4141
09.05.2022 16:00	453,3965
10.05.2022 0:00	389,0663
10.05.2022 8:00	357,8363
10.05.2022 16:00	342,6751
11.05.2022 0:00	383,2266
11.05.2022 8:00	314,0793
11.05.2022 16:00	299,4393
12.05.2022 0:00	383,8967
12.05.2022 8:00	340,263
12.05.2022 16:00	308,0746
13.05.2022 0:00	376,3674
13.05.2022 8:00	438,9784
13.05.2022 16:00	479,064
14.05.2022 0:00	435,4158
14.05.2022 8:00	442,4108
14.05.2022 16:00	405,7307
15.05.2022 0:00	403,3277
15.05.2022 8:00	353,2652
15.05.2022 16:00	363,745
16.05.2022 0:00	352,8606
16.05.2022 8:00	329,4729
16.05.2022 16:00	323,3733
17.05.2022 0:00	387,2695
17.05.2022 8:00	333,9637
17.05.2022 16:00	393,8676
18.05.2022 0:00	448,808
18.05.2022 8:00	393,7291
18.05.2022 16:00	363,9724
19.05.2022 0:00	322,8653
19.05.2022 8:00	348,7123
19.05.2022 16:00	378,1493
20.05.2022 0:00	396,3328
20.05.2022 8:00	385,024
20.05.2022 16:00	450,2908
21.05.2022 0:00	451,7156
